epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,245.811,0.3088,0.24341,0.79574,0.99244,1,0.995,0.97899,0.28491,0.14692,0.72769,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
68,249.711,0.32959,0.23309,0.83136,0.99082,1,0.995,0.97647,0.27432,0.13643,0.72694,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144
69,253.191,0.29409,0.21659,0.81774,0.99082,1,0.995,0.97647,0.27432,0.13643,0.72694,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
70,256.552,0.29568,0.21691,0.80501,0.99311,1,0.995,0.97647,0.27676,0.13791,0.72654,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285
71,260.161,0.29104,0.22647,0.80081,0.99051,1,0.995,0.97619,0.28082,0.13909,0.72866,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
72,263.416,0.29649,0.22827,0.78815,0.99051,1,0.995,0.97619,0.28082,0.13909,0.72866,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556
73,266.896,0.27522,0.20597,0.81231,0.99046,1,0.995,0.97608,0.28703,0.13916,0.73018,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
74,271.956,0.30577,0.21401,0.80072,0.99046,1,0.995,0.97608,0.28703,0.13916,0.73018,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262
75,275.609,0.2991,0.21426,0.82441,0.99358,1,0.995,0.97632,0.27103,0.13976,0.72788,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
76,278.96,0.30642,0.21358,0.80179,0.99016,1,0.995,0.97849,0.27502,0.14019,0.72835,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967
77,282.222,0.28407,0.21899,0.80653,0.99016,1,0.995,0.97849,0.27502,0.14019,0.72835,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
78,285.539,0.28527,0.21226,0.80154,0.98982,1,0.995,0.96834,0.27799,0.14185,0.7301,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673
79,289.065,0.25632,0.20152,0.78782,0.98963,1,0.995,0.97849,0.28756,0.1476,0.73096,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
80,292.347,0.28804,0.20402,0.79253,0.98963,1,0.995,0.97849,0.28756,0.1476,0.73096,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379
81,295.735,0.29176,0.20136,0.81109,0.99244,1,0.995,0.97864,0.28107,0.13522,0.72921,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
82,298.938,0.29072,0.21569,0.80425,0.99244,1,0.995,0.97864,0.28107,0.13522,0.72921,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085
83,302.373,0.28947,0.21726,0.8006,0.99296,1,0.995,0.98105,0.28542,0.13206,0.73019,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
84,306.461,0.2963,0.20382,0.80476,0.98992,1,0.995,0.98105,0.27857,0.12981,0.7291,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791
85,309.994,0.27886,0.20221,0.79648,0.98992,1,0.995,0.98105,0.27857,0.12981,0.7291,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
86,314.958,0.2656,0.20025,0.79764,0.99024,1,0.995,0.98105,0.2762,0.12846,0.72869,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497
87,318.66,0.25463,0.19516,0.78974,0.9908,1,0.995,0.98105,0.27328,0.13281,0.72938,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
88,322.219,0.26499,0.18225,0.82463,0.9908,1,0.995,0.98105,0.27328,0.13281,0.72938,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202
89,325.919,0.25954,0.19032,0.79481,0.99069,1,0.995,0.98105,0.26536,0.12901,0.72803,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
90,329.56,0.29187,0.19683,0.82947,0.99069,1,0.995,0.98105,0.26536,0.12901,0.72803,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908
91,333.55,0.24699,0.15573,0.77885,0.99031,1,0.995,0.97538,0.26597,0.13097,0.72842,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
92,337.41,0.25071,0.15488,0.76557,0.99324,1,0.995,0.97585,0.26394,0.13236,0.72809,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614
93,340.917,0.25536,0.16064,0.77374,0.99324,1,0.995,0.97585,0.26394,0.13236,0.72809,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
94,344.414,0.2643,0.17009,0.76336,0.9935,1,0.995,0.97585,0.26322,0.12512,0.72839,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332
95,347.901,0.25995,0.1655,0.77695,0.99046,1,0.995,0.98105,0.26639,0.12547,0.72905,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
96,351.462,0.25449,0.16191,0.78914,0.99046,1,0.995,0.98105,0.26639,0.12547,0.72905,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05
97,355.306,0.23785,0.1632,0.7827,0.99051,1,0.995,0.98086,0.26724,0.12791,0.72851,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
98,358.646,0.25422,0.1562,0.77228,0.99051,1,0.995,0.98086,0.26724,0.12791,0.72851,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05
99,363.893,0.24665,0.16242,0.75705,0.99057,1,0.995,0.98086,0.26812,0.12791,0.7291,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
100,369.085,0.25257,0.15736,0.77394,0.99087,1,0.995,0.98086,0.26565,0.12825,0.72853,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05
